PartNo,Volume,Freq,Viscosity
BS1A69924A,0.72,36,42.4264068711929
DT913719X,1.62,54,42.4264068711929
D07A55210A,25.68,214,42.2295315310664
9YAK01006A,0.02776032,7,42.013204304307
9XF03923X3,0.0963936,13,41.8715706667811
D6515756YB,1.89,57,41.4613991448386
DF7143835A,1.5215,51,41.3460663994038
DN24199H1A,6.06,101,41.0284454169706
DN3417530A,5.88,98,40.4145188432738
DH05676N0,0.523,29,40.1002567664376
BC1D56145,1.433625,48,40.0888367414712
G00167061,1.43908125,48,40.0127665259737
DK4964180G68,22.3066666666667,186,39.3818039121923
9XF05255AF,0.0946428988235294,12,39.0065220686295
9XG13090X7,0.096768,12,38.575837490523
B09251861,0.024192,6,38.575837490523
DK4450YM1,0.024192,6,38.575837490523
DK4850YM1,0.024192,6,38.575837490523
DN3261C35,5.04,84,37.4165738677394
